id,original_title
36196,Party Girl
11980,The Prophecy
58372,Reckless
32646,Safe
10533,The Scarlet Letter
56088,The Show
10802,Showgirls
10149,Smoke
18402,Something to Talk About
9348,Species
139408,The Stars Fell on Henrietta
281,Strange Days
5967,Les parapluies de Cherbourg
79593,The Tie That Binds
47939,Three Wishes
36834,Total Eclipse
9090,"To Wong Foo, Thanks for Everything! Julie Newmar"
3512,Under Siege 2: Dark Territory
52856,Unstrung Heroes
77350,Unzipped
9560,A Walk in the Clouds
9804,Waterworld
31611,White Man's Burden
65796,Wild Bill
49805,The Browning Version
26258,Bushwhacked
50797,Утомлённые солнцем
19155,Before the Rain
76,Before Sunrise
11017,Billy Madison
37141,The Babysitter
9382,Boys on the Side
6715,The Cure
18256,Castle Freak
22625,Circle of Friends
2292,Clerks
1909,Don Juan DeMarco
8984,Disclosure
61813,Dream Man
4954,Drop Zone
62488,Destiny Turns on the Radio
10531,Death and the Maiden
11929,Dolores Claiborne
8467,Dumb and Dumber
10451,飲食男女
20156,Exotica
18395,Exit to Eden
522,Ed Wood
397,French Kiss
10525,Forget Paris
27985,Far from Home: The Adventures of Yellow Dog
15789,A Goofy Movie
27303,Hideaway
21183,Fluke
10954,Farinelli
47867,Gordy
43475,Gumby: The Movie
72031,The Glass Shield
14275,Hoop Dreams
1024,Heavenly Creatures
17207,Houseguest
13701,Immortal Beloved
14819,Heavyweights
32631,The Hunted
11777,I.Q.
628,Interview with the Vampire
87729,Jefferson in Paris
18713,The Jerky Boys
6280,Junior
9061,Just Cause
37108,A Kid in King Arthur's Court
6071,Kiss of Death
11,Star Wars
9587,Little Women
19101,A Little Princess
49980,Ladybird Ladybird
17961,L'Enfer
18183,Como agua para chocolate
4476,Legends of the Fall
11008,Major Payne
47504,Little Odessa
32325,Mi Vida Loca
43742,Love Affair
28313,Losing Isaiah
11318,The Madness of King George
3036,Frankenstein
40490,Man of the House
24070,Mixed Nuts
8986,Milk Money
10510,Miracle on 34th Street
17402,Miami Rhapsody
38722,My Family
8438,Murder in the First
11593,Nobody's Fool
1945,Nell
39310,New Jersey Drive
109560,New York Cop
56428,Beyond Bedlam
63105,Nemesis 2 - Nebula
131957,Nina Takes a Lover
241,Natural Born Killers
9058,Only You
527,Once Were Warriors
18220,Poison Ivy II: Lily
6950,Outbreak
101,Léon
63020,The Perez Family
2307,A Pyromaniac's Love Story
680,Pulp Fiction
41478,Panther
25296,Pushing Hands
40156,Priest
11450,Quiz Show
30304,Picture Bride
10452,La Reine Margot
12106,The Quick and the Dead
161495,Roommates
3586,Prêt-à-Porter
110,Trois couleurs : Rouge
108,Trois couleurs : Bleu
109,Trois couleurs : Blanc
159185,Pao Da Shuang Deng
36357,Rent-a-Kid
92769,Relative Fear
28033,Stuart Saves His Family
22586,The Swan Princess
14334,The Secret of Roan Inish
2636,The Specialist
2164,Stargate
11395,The Santa Clause
278,The Shawshank Redemption
9905,Shallow Grave
87078,Suture
12527,Fresa y chocolate
20306,Swimming with Sharks
36614,The Sum of Us
27993,Senior Trip
31439,活着
9067,Tank Girl
9059,Tales from the Crypt: Demon Knight
193,Star Trek: Generations
25066,Tales from the Hood
46797,Tom & Viv
12122,Village of the Damned
11381,Tommy Boy
32636,Vanya on 42nd Street
36141,The Underneath
95963,The Walking Dead
1587,What's Eating Gilbert Grape
9271,Virtuosity
2064,While You Were Sleeping
19855,The War
60855,Double Happiness
236,Muriel's Wedding
48287,The Baby-Sitters Club
3049,Ace Ventura: Pet Detective
2759,"The Adventures of Priscilla, Queen of the Desert"
12635,Backbeat
10497,Bitter Moon
11382,Bullets Over Broadway
9331,Clear and Present Danger
10731,The Client
10464,"Corrina, Corrina"
34152,Crooklyn
9495,The Crow
29973,Cobb
888,The Flintstones
13,Forrest Gump
712,Four Weddings and a Funeral
16295,Higher Learning
48992,I Like It Like That
10879,I Love Trouble
10660,It Could Happen to You
10714,The Jungle Book
41647,Die Macht der Bilder: Leni Riefenstahl
8587,The Lion King
1689,Little Buddha
11596,New Nightmare
854,The Mask
9359,Maverick
23333,Mrs. Parker and the Vicious Circle
36593,The Naked Gun 33⅓: The Final Insult
12280,The Paper
2788,Reality Bites
10427,Red Rock West
11011,Ri¢hie Ri¢h
49803,Safe Passage
8987,The River Wild
1637,Speed
15128,Speechless
8831,Timecop
36955,True Lies
10449,When a Man Loves a Woman
10395,Wolf
12160,Wyatt Earp
40480,Bad Company
52038,A Man of No Importance
29444,S.F.W.
26352,A Low Down Dirty Shame
39953,"Boys Life: Three Stories of Love, Lust, and Liberation"
41580,Le colonel Chabert
315,"Faster, Pussycat! Kill! Kill!"
22067,Jason's Lyric
18242,The Secret Adventures of Tom Thumb
11667,Street Fighter
32502,Coldblooded
267188,Desert Winds
28732,Fall Time
75555,The Fear
42981,Frank and Ollie
278939,Girl in the Cadillac
291731,Homage
226229,Mirage
203119,Open Season
172923,Dos Crímenes
316098,Brother Minister: The Assassination of Malcolm X
8011,Highlander III: The Sorcerer
171857,Federal Hill
2654,In the Mouth of Madness
18069,8 Seconds
19092,Above the Rim
2758,Addams Family Values
38129,Martin Lawrence: You So Crazy
10436,The Age of Innocence
13595,Airheads
46094,The Air Up There
9409,Another Stakeout
11853,Bad Girls
16771,Barcelona
46924,Being Human
11041,The Beverly Hillbillies
306,Beverly Hills Cop III
14522,Black Beauty
26203,Blink
178,Blown Away
19819,Blue Chips
57834,Blue Sky
4722,Body Snatchers
18215,Boxing Helena
1607,A Bronx Tale
26391,Cabin Boy
117553,Calendar Girl
6075,Carlito's Way
11310,City Slickers II: The Legend of Curly's Gold
18658,Clean Slate
9350,Cliffhanger
9612,Coneheads
2124,Color of Night
26261,Cops & Robbersons
19176,The Cowboy Way
49299,Dangerous Game
11566,Dave
9571,Dazed and Confused
9739,Demolition Man
24257,The Endless Summer 2
34444,Even Cowgirls Get the Blues
26141,Fatal Instinct
10997,霸王别姬
50463,The Favor
10443,Fearless
20239,Fear of a Black Hat
16297,With Honors
18551,Flesh and Bone
25440,Widows' Peak
9024,For Love or Money
37233,The Firm
1634,Free Willy
13815,Fresh
5503,The Fugitive
35588,Geronimo: An American Legend
2087,The Getaway
41579,Getting Even with Dad
18620,Go Fish
41006,A Good Man in Africa
4916,Guilty as Sin
2019,Hard Target
31642,Heaven & Earth
9255,Hot Shots! Part Deux
26271,Live Nude Girls
10612,The Englishman Who Went Up a Hill But Came Down a Mountain
2259,The House of the Spirits
16097,House Party 3
11934,The Hudsucker Proxy
106143,I'll Do Anything
12475,In the Army Now
9386,In the Line of Fire
7984,In the Name of the Father
59930,The Inkwell
15765,What's Love Got to Do with It
31643,Jimmy Hollywood
6,Judgment Night
329,Jurassic Park
10909,Kalifornia
507,Killing Zoe
34024,King of the Hill
29918,Lassie
9593,Last Action Hero
42580,Life With Mikey
22317,Lightning Jack
1413,M. Butterfly
12121,Made in America
2246,Malice
10502,The Man without a Face
10440,Manhattan Murder Mystery
9516,Menace II Society
2320,Executive Decision
5879,愛のコリーダ
83718,What Happened Was...
11971,Much Ado About Nothing
2625,Mr. Jones
31911,Mr. Wonderful
788,Mrs. Doubtfire
21450,Naked
11231,The Next Karate Kid
41588,The New Age
10447,No Escape
31586,North
9300,Orlando
9559,A Perfect World
9800,Philadelphia
713,The Piano
8291,Poetic Justice
18133,The Program
25557,The Puppet Masters
22588,Radioland Murders
10872,The Ref
1245,The Remains of the Day
11858,Renaissance Man
7007,Rising Sun
10467,The Road to Wellville
5550,RoboCop 3
8005,Robin Hood: Men in Tights
2088,Romeo Is Bleeding
10412,Romper Stomper
47889,Ruby in Paradise
14534,Rudy
56583,The Saint of Fort Washington
41878,Les Nuits Fauves
424,Schindler's List
35233,The Scout
14291,Searching for Bobby Fischer
103413,Second Best
11236,The Secret Garden
11592,Serial Mom
8850,The Shadow
10445,Shadowlands
695,Short Cuts
43535,A Simple Twist of Fate
12519,Sirens
23210,Six Degrees of Separation
858,Sleepless in Seattle
867,Sliver
78,Blade Runner
13203,Son in Law
10442,So I Married an Axe Murderer
11074,Striking Distance
33367,Harem
9607,Super Mario Bros.
17585,Surviving the Game
9057,Terminal Velocity
20967,Thirty Two Short Films About Glenn Gould
10635,Threesome
9479,The Nightmare Before Christmas
10057,The Three Musketeers
11969,Tombstone
41590,Trial by Jury
319,True Romance
26408,The War Room
15139,The Pagemaster
161158,"Paris, France"
218473,"The Beans of Egypt, Maine"
85247,Killer
11446,Welcome to the Dollhouse
51980,Germinal
24405,Chasers
11655,Cronos
11800,Naked in New York
8223,Kika
14587,Bhaji on the Beach
31504,Little Big League
41653,Kådisbellan
53185,Wide Eyed and Legless
95743,Foreign Student
23637,Io speriamo che me la cavo
17600,Spanking the Monkey
10897,The Little Rascals
349394,À la mode
21352,Andre
68806,La scorta
37345,Princess Caraboo
32562,The Celluloid Closet
47507,Métisse
25403,Caro diario
124304,De eso no se habla
9066,The Brady Bunch Movie
771,Home Alone
251,Ghost
812,Aladdin
280,Terminator 2: Judgment Day
581,Dances with Wolves
80350,Tough and Deadly
268,Batman
274,The Silence of the Lambs
408,Snow White and the Seven Dwarfs
10020,Beauty and the Beast
10895,Pinocchio
114,Pretty Woman
41043,Окно в Париж
576,The Wild Bunch
15477,Love and a .45
59146,The Wooden Man's Bride
124472,A Great Day in Harlem
30528,Bye Bye Love
7300,One Fine Day
10824,Candyman: Farewell to the Flesh
261246,Century
275,Fargo
25059,Homeward Bound II: Lost in San Francisco
11827,Heavy Metal
8766,Hellraiser: Bloodline
23570,The Pallbearer
47333,Jane Eyre
54850,Loaded
51242,Pane e cioccolata
10112,The Aristocats
4307,La flor de mi secreto
46029,Two Much
32308,Ed
88893,Schrei aus Stein
52873,Ma saison préférée
123505,A Modern Affair
340210,Condition Red
44281,Asfour Stah
28121,A Thin Line Between Love and Hate
12520,The Last Supper
1592,Primal Fear
166901,Rude
36447,Carried Away
19042,All Dogs Go to Heaven 2
38884,Land and Freedom
47449,Denise Calls Up
36259,Theodore Rex
41852,A Family Thing
40926,Frisk
9099,Sgt. Bilko
2021,Jack & Sarah
61752,Girl 6
10988,Diabolique
11479,Un indien dans la ville
398959,Roula - Dunkle Geheimnisse
287305,Peanuts – Die Bank zahlt alles
339428,Happy Weekend
12652,Nelly & Monsieur Arnaud
10684,Courage Under Fire
954,Mission: Impossible
68445,Á köldum klaka
18989,Moll Flanders
10801,Das Superweib
54285,삼공일 삼공이
8840,DragonHeart
278978,Und keiner weint mir nach
124625,My Mother's Courage
11107,Eddie
16417,Yankee Zulu
70934,Billy's Holiday
10363,Plein soleil
161070,August
10539,James and the Giant Peach
10543,Fear
18414,Kids in the Hall: Brain Candy
47502,Faithful
11902,Podzemlje
27098,Lust och fägring stor
25087,Bloodsport II
5801,পথের পাঁচালী
896,অপুর সংসার
3065,Mystery Science Theater 3000: The Movie
318177,Tarantella
2300,Space Jam
8069,Barbarella
288173,Hostile Intentions
187851,They Bite
27768,Some Folks Call It a Sling Blade
221917,The Run of the Country
8072,"Alphaville, une étrange aventure de Lemmy Caution"
35797,Coup de torchon
88030,Tigrero: A Film That Was Never Made
185191,L'oeil de Vichy
83857,Windows
33245,It's My Party
124460,Country Life
27281,Operation Dumbo Drop
105045,Das Versprechen
40001,Mrs. Winterbourne
29621,Solo
117730,Etz Hadomim Tafus
20762,The Substitute
37144,True Crime
48260,Butterfly Kiss
12656,Feeling Minnesota
38867,Delta of Venus
277270,To Cross the Rubicon
25969,Angus
44103,Daens
753,Faces
43634,Boys
9103,The Quest
90214,Cosi
29649,Sunset Park
10990,Mulholland Falls
8866,The Truth About Cats & Dogs
12233,Oliver & Company
23449,Celtic Pride
36355,Flipper
37667,Captives
90148,Of Love and Shadows
922,Dead Man
11876,Le Hussard sur le toit
52633,Switchblade Sisters
62364,Boca a boca
11687,Les visiteurs
9304,Multiplicity
73183,"The Haunted World of Edward D. Wood, Jr."
131232,Due Amici
9100,The Craft
20759,The Great White Hype
46063,Last Dance
365371,War Stories Our Mother Never Told Us
32513,Cold Comfort Farm
40651,"Institute Benjamenta, or This Dream People Call Human Life"
36915,Heaven's Prisoners
40507,Original Gangstas
9802,The Rock
25697,Getting Away with Murder
21588,Dellamorte Dellamore
664,Twister
11867,Barb Wire
47119,Le garçu
314352,Honigmond
9323,GHOST IN THE SHELL
10280,Thinner
10535,Spy Hard
124613,Brothers in Trouble
532,A Close Shave
26744,Force of Evil
16299,The Stupids
10547,The Arrival
245268,The Man from Down Under
935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
55613,Careful
215107,Vermont Is for Lovers
41007,A Month by the Lake
35645,Gold Diggers: The Secret of Bear Mountain
110465,Kim
255546,Carmen Miranda: Bananas Is My Business
40751,東邪西毒
275096,Khomreh
85778,Maya Lin: A Strong Clear Vision
11101,Stalingrad
9826,The Phantom
9879,Striptease
63564,The Last of the High Kings
22621,Heavy
7095,Jack
26890,I Shot Andy Warhol
46732,The Grass Harp
124633,Tuđa Amerika
202425,La vie est belle
196940,Quartier Mozart
77771,Touki-Bouki
181083,Wend Kuuni
41225,Histoires extraordinaires
188589,Babyfever
87190,Pharaoh's  Army
627,Trainspotting
32872,Til There Was You
602,Independence Day
14553,Stealing Beauty
9566,The Fan
10545,The Hunchback of Notre Dame
9894,The Cable Guy
11543,Kingpin
9268,Eraser
52059,The Gate of Heavenly Peace
9327,The Nutty Professor
123763,"Yo, la peor de todas"
81949,Un été inoubliable
42005,"Hol volt, hol nem volt"
124306,En compagnie d'Antonin Artaud
183955,Sibak
44535,Somebody to Love
44495,A Very Natural Thing
78285,La vieille qui marchait dans la mer
11228,Daylight
10779,The Frighteners
26748,Lone Star
38223,Harriet the Spy
9294,Phenomenon
49963,Walking and Talking
11363,She's the One
1645,A Time to Kill
31546,American Buffalo
77056,Les Rendez-vous de Paris
36344,Alaska
18550,Fled
11511,Kazaam
172198,Bűvös vadász
34170,Larger Than Life
281085,A Boy Called Hate
109478,Power 98
124645,Two Deaths
12606,A Very Brady Sequel
69895,Stefano Quantestorie
35206,La mort en ce jardin
151489,Hedd Wyn
4837,La Collectionneuse
12632,Kaspar Hauser
9098,Echte Kerle
282919,Diebinnen
124614,O Convento
18975,The Adventures of Pinocchio
11962,Joe's Apartment
2925,The First Wives Club
28628,Stonewall
3595,Ransom
9308,High School High
92381,Phat Beach
18555,Foxfire
12123,Chain Reaction
10830,Matilda
3573,Emma
10546,The Crow: City of Angels
18862,House Arrest
31417,Les Yeux sans visage
9431,Bordello of Blood
124619,Lotto Land
297645,The Story of Xinghua
48144,天國逆子
46986,Flirt
144982,The Big Squeeze
47907,The Spitfire Grill
10061,Escape from L.A.
36266,Xích lô
549,Basquiat
10478,Tin Cup
66634,Dingo
116690,楢山節考
213917,Un week-end sur deux
145925,Mille bolle blu
100914,Wuya yu maque
238,The Godfather
159,Der bewegte Mann
11134,警察故事 III：超級警察
88224,Manny & Lo
132641,Tsuma
42758,Small Faces
9303,Bound
23945,Carpool
37820,Death in Brunswick
22479,Kansas City
9054,Gone Fishin'
241058,Lover's Knot
11985,愛情萬歲
10232,Schatten der Engel
59569,Killer: A Journal of Murder
410921,Nothing to Lose
38955,超级计划
110513,Girls Town
114089,Bye-Bye
11015,The Relic
9306,The Island of Dr. Moreau
12559,First Kid
58770,The Trigger Effect
124851,Sweet Nothing
3587,Bogus
10723,Bulletproof
56077,Talk of Angels
19004,The Land Before Time III: The Time of the Great Giving
101230,6
253632,Baton Rouge
10987,Halloween: The Curse of Michael Myers
44705,Twelfth Night
20318,Mother Night
43596,Liebelei
79782,Wenecja
26933,Les Roseaux Sauvages
27854,For Whom the Bell Tolls
981,The Philadelphia Story
872,Singin' in the Rain
2769,An American in Paris
13320,Funny Face
164,Breakfast at Tiffany's
426,Vertigo
567,Rear Window
3078,It Happened One Night
13528,Gaslight
28288,The Gay Divorcee
213,North by Northwest
284,The Apartment
239,Some Like It Hot
4808,Charade
289,Casablanca
963,The Maltese Falcon
11113,My Fair Lady
6620,Sabrina
804,Roman Holiday
26531,The Little Princess
909,Meet Me in St. Louis
630,The Wizard of Oz
770,Gone with the Wind
31044,My Favorite Year
599,Sunset Boulevard
15,Citizen Kane
62,2001: A Space Odyssey
121357,Golden Earrings
705,All About Eve
22490,The Women
223,Rebecca
25670,Foreign Correspondent
303,Notorious
4174,Spellbound
8356,An Affair to Remember
381,To Catch a Thief
20758,Father of the Bride
29376,The Band Wagon
1859,Ninotchka
18299,Love in the Afternoon
17281,Gigi
64382,The Reluctant Debutante
10907,The Adventures of Robin Hood
32093,The Mark of Zorro
1939,Laura
22292,The Ghost and Mrs. Muir
3598,Lost Horizon
3080,Top Hat
198,To Be or Not to Be
13562,My Man Godfrey
1712,Giant
220,East of Eden
3529,The Thin Man
3085,His Girl Friday
2897,Around the World in Eighty Days
1585,It's a Wonderful Life
3083,Mr. Smith Goes to Washington
900,Bringing Up Baby
43795,Penny Serenade
85638,The Scarlet Letter
50001,Lady of Burlesque
43905,Of Human Bondage
22688,Angel on My Shoulder
23114,Little Lord Fauntleroy
26378,They Made Me a Criminal
40206,The Inspector General
22356,Angel and the Badman
260,The 39 Steps
43488,A Walk in the Sun
22613,The Outlaw
10331,Night of the Living Dead
488,The African Queen
22733,Beat the Devil
261,Cat on a Hot Tin Roof
57575,The Last Time I Saw Paris
32574,Meet John Doe
22657,Algiers
76464,Something to Sing About
22649,A Farewell to Arms
176841,Moonlight Murder
125587,Nothing Personal
39448,Huang jia shi jie
52855,Dangerous Ground
39940,Picnic
172868,Madagascar Skin
85328,The Pompatus of Love
124632,Small Wonders
11076,Fly Away Home
63945,Bliss
58985,Grace of My Heart
890,Schlafes Bruder
10861,Maximum Risk
1770,Michael Collins
44465,The Rich Man's Wife
2033,Infinity
18203,Big Night
9333,Last Man Standing
47260,Caught
9400,Set It Off
9401,2 Days in the Valley
12241,Curdled
25739,L'associé
161806,Ed's Next Move
11306,Extreme Measures
9625,The Glimmer Man
10680,D3: The Mighty Ducks
6346,The Chamber
18660,The Apple Dumpling Gang
35115,"Davy Crockett, King of the Wild Frontier"
14821,Escape to Witch Mountain
14136,The Love Bug
10869,Herbie Rides Again
22660,Old Yeller
19186,The Parent Trap
31102,Pollyanna
6878,Homeward Bound: The Incredible Journey
15944,The Shaggy Dog
18444,Swiss Family Robinson
20723,That Darn Cat!
173,"20,000 Leagues Under the Sea"
864,Cool Runnings
24795,Angels in the Outfield
11224,Cinderella
81310,Winnie the Pooh and the Blustery Day
15947,The Three Caballeros
9078,The Sword in the Stone
29682,So Dear to My Heart
8367,Robin Hood: Prince of Thieves
433,Mary Poppins
11360,Dumbo
11114,Pete's Dragon
12335,Bedknobs and Broomsticks
12092,Alice in Wonderland
10948,The Fox and the Hound
11229,Freeway
15121,The Sound of Music
562,Die Hard
10163,The Lawnmower Man
48862,Unhook the Stars
117036,Synthetic Pleasures
47199,The Secret Agent
11159,Secrets & Lies
9591,That Thing You Do!
30500,To Gillian on Her 37th Birthday
41843,Surviving Picasso
55058,Love Is All There Is
10938,Beautiful Thing
11412,The Long Kiss Goodnight
10586,The Ghost and the Darkness
42314,Looking for Richard
27845,Trees Lounge
108365,The Proprietor
23223,Normal Life
49471,Get on the Bus
38153,Shadow Conspiracy
25147,Jude
9716,Everyone Says I Love You
43777,Azúcar amarga
454,Romeo + Juliet
10218,Swingers
819,Sleepers
38191,The Sunchaser
56830,Johns
11238,Aladdin and the King of Thieves
27256,The Woman in Question
31530,Shall We Dance
66473,A Damsel in Distress
28120,Crossfire
1834,"Murder, My Sweet"
26282,Macao
37218,For the Moment
252,Willy Wonka & the Chocolate Factory
116356,La vie sexuelle des Belges 1950-1978
16372,The Innocents
11561,Sleeper
11302,Bananas
623,A Fish Called Wanda
583,Life of Brian
12614,Victor/Victoria
21711,The Candidate
11575,The Great Race
475,Bonnie and Clyde
11331,The Old Man and the Sea
521,Dial M for Murder
21202,Madame Butterfly
88,Dirty Dancing
500,Reservoir Dogs
792,Platoon
8491,Weekend at Bernie's
402,Basic Instinct
10537,The Doors
11386,The Crying Game
9504,Glengarry Glen Ross
15764,Sophie's Choice
601,E.T. the Extra-Terrestrial
67365,The Search for One-eye Jimmy
25842,A Christmas Carol
2119,Days of Thunder
744,Top Gun
136311,American Strays
221,Rebel Without a Cause
702,A Streetcar Named Desire
25750,Children of the Corn IV: The Gathering
17642,The Leopard Son
427043,Charms Zwischenfälle
146341,Bird of Prey
9305,Microcosmos : Le Peuple de l'herbe
37616,Palookaville
11112,The Associate
21612,The Funeral
141210,The Sleepover
102461,La fille seule
36998,Le huitième jour
200383,North Star
116844,Drunks
1630,The People vs. Larry Flynt
26626,Glory Daze
124837,A Perfect Candidate
11816,On Golden Pond
11843,The Return of the Pink Panther
10379,Drop Dead Fred
2756,The Abyss
790,The Fog
1103,Escape from New York
11298,The Howling
4480,Jean de Florette
4481,Manon des Sources
49688,Johnny cien pesos
10765,Private Benjamin
762,Monty Python and the Holy Grail
44497,Hustler White
85588,Dadetown
278621,Everything Relative
99479,Entertaining Angels - The Dorothy Day Story
55049,Trois vies et une seule mort
124829,The Line King: The Al Hirschfeld Story
79306,Snowriders
356054,Curtis's Charm
10548,When We Were Kings
531,The Wrong Trousers
104931,JLG/JLG - autoportrait de décembre
4483,Le Retour de Martin Guerre
18919,Faust
31556,He Walked by Night
26167,Raw Deal
26174,T-Men
61461,I bambini ci guardano
117500,La symphonie pastorale
218713,Here Comes Cookie
217802,Love In Bloom
127973,Six of a Kind
659,Die Blechtrommel
30892,The Ruling Class
86369,Mina Tannenbaum
8074,Deux ou trois choses que je sais d'elle
124676,The Bloody Child
38554,Dear God
49763,Bad Moon
41326,American Dream
36555,Best of the Best 3: No Turning Back
10608,Bob Roberts
11216,Nuovo Cinema Paradiso
7452,"The Cook, the Thief, His Wife & Her Lover"
64567,Grosse fatigue
892,Delicatessen
1600,La double vie de Véronique
26561,Enchanted April
975,Paths of Glory
18129,The Grifters
54405,Hear My Song
150823,The Shooter
409,The English Patient
38251,Mediterraneo
10161,My Left Foot: The Story of Christy Brown
1412,"Sex, Lies, and Videotape"
41768,Passion Fish
10409,Strictly Ballroom
14285,The Thin Blue Line
2469,¡Átame!
10174,Madonna: Truth or Dare
31225,Paris is Burning
510,One Flew Over the Cuckoo's Nest
11455,Up in Smoke
1891,The Empire Strikes Back
2493,The Princess Bride
85,Raiders of the Lost Ark
68,Brazil
679,Aliens
429,"Il buono, il brutto, il cattivo"
13446,Withnail & I
389,12 Angry Men
947,Lawrence of Arabia
185,A Clockwork Orange
595,To Kill a Mockingbird
28,Apocalypse Now
335,C'era una volta il West
1892,Return of the Jedi
144,Der Himmel über Berlin
1092,The Third Man
769,GoodFellas
348,Alien
766,Army of Darkness
175,Le Grand Bleu
11645,乱
10835,喋血雙雄
539,Psycho
525,The Blues Brothers
240,The Godfather: Part II
600,Full Metal Jacket
530,A Grand Day Out
10705,Henry V
279,Amadeus
3109,The Quiet Man
311,Once Upon a Time in America
1578,Raging Bull
703,Annie Hall
9549,The Right Stuff
1398,Сталкер
387,Das Boot
9277,The Sting
343,Harold and Maude
37291,Trust
490,Det sjunde inseglet
11235,Local Hero
218,The Terminator
763,Braindead
9665,Glory
18971,Rosencrantz & Guildenstern Are Dead
696,Manhattan
379,Miller's Crossing
207,Dead Poets Society
37247,The Graduate
1480,Touch of Evil
9322,Nikita
826,The Bridge on the River Kwai
422,8½
829,Chinatown
828,The Day the Earth Stood Still
3090,The Treasure of the Sierra Madre
9964,Bad Taste
3063,Duck Soup
13667,Better Off Dead...
694,The Shining
235,Stand by Me
832,M
765,Evil Dead II
5925,The Great Escape
11778,The Deer Hunter
4485,Diva
137,Groundhog Day
